name,short_name,zip_code,address,city,prefecture,capacity,url,notes,latitude,longitude,貼付け用住所,貼付け用ロケーション
NINETY EAST,90east,3100847,茨城県水戸市米沢町３０６−１,水戸市,茨城県,40,,ロック中心,36.344718,140.463246,,"36.344718, 140.463246"
LEO's LIVE BAR レオズ ライブバー,LEO's LIVE BAR,3000037,茨城県土浦市桜町１丁目５−２ 桜 I ビル 1階,土浦市,茨城県,20,,弾き語り中心、ドラムNG,36.076868,140.204061,,"36.076868, 140.204061"
Paper Moon,Paper Moon,3100021,茨城県水戸市南町１丁目４−１８ 松屋ビル 3F,水戸市,茨城県,40,,大人バンド多い,36.37503760747874,140.47201563737582,,"36.37503760747874, 140.47201563737582"
Sound Bag Cafe,Sound Bag Cafe,3170072,茨城県日立市弁天町１ 2F,日立市,茨城県,30,,弾き語りもバンドもあり,36.593784,140.654641,,"36.593784, 140.654641"
BUZZ SONGS,BUZZ SONGS,3170071,茨城県日立市鹿島町１丁目９−３,日立市,茨城県,99,,,36.595014,140.652184,,"36.595014, 140.652184"
Party Party,Party Party,3160003,茨城県日立市多賀町１丁目１５−１,日立市,茨城県,99,,,36.55415411708467,140.63035340746688,,"36.55415411708467, 140.63035340746688"
Park Diner,Park Diner,3050032,茨城県つくば市竹園１丁目9−２ DAYZTOWN B1,つくば市,茨城県,99,,,36.07755393231848,140.1153953694141,,"36.07755393231848, 140.1153953694141"
Heaven’s,Heaven’s,3120045,茨城県ひたちなか市勝田中央４−７,ひたちなか市,茨城県,99,,,36.394095419227526,140.5263179917782,,"36.394095419227526, 140.5263179917782"
ライブスポット サムシング,Something,3120046,茨城県ひたちなか市勝田泉町２−１０,ひたちなか市,茨城県,99,,,36.3935097567974,140.52578395670093,,"36.3935097567974, 140.52578395670093"
ブルースバーＳＴＯＲＭＹ．ＭＯＮＤＡＹ,Stormy,3120046,茨城県ひたちなか市勝田泉町３−１０ 益子第2ビル 3階,ひたちなか市,茨城県,99,,,36.39325446573935,140.52565624995398,,"36.39325446573935, 140.52565624995398"
ガールトーク,Girl Talk,3100804,茨城県水戸市白梅１丁目７−１５ 江橋ビル,水戸市,茨城県,99,,,36.36310697155602,140.47302826512922,,"36.36310697155602, 140.47302826512922"
Jazz Room Cortez,Cortez,3100842,茨城県水戸市けやき台３丁目２８番５ ビュークイーンズ１０１号,水戸市,茨城県,99,,,36.33375580800797,140.48565016537407,,"36.33375580800797, 140.48565016537407"
LIGHT HOUSE,LIGHT HOUSE,3100021,茨城県水戸市南町３丁目３−２８,水戸市,茨城県,300,,,36.37699709494458,140.46697097739872,,"36.37699709494458, 140.46697097739872"
Club Sonic Mito,Sonic Mito,3100021,茨城県水戸市南町３丁目３−４３,水戸市,茨城県,200,,,36.37667892961829,140.46847823751892,,"36.37667892961829, 140.46847823751892"
弾き語り昭和,弾き語り昭和,3120047,茨城県ひたちなか市表町１−９,ひたちなか市,茨城県,99,,,36.39350608936567,140.52607551995476,,"36.39350608936567, 140.52607551995476"
MUSIC BAR Pump it,Pump It,3170072,茨城県日立市弁天町１丁目１１−２１,日立市,茨城県,99,,,36.593958314076126,140.6539575901508,,"36.593958314076126, 140.6539575901508"
Bricks hall,BricksHall,3120011,茨城県ひたちなか市中根４８１９−１,ひたちなか市,茨城県,99,,,36.39894079434077,140.54240913945586,,"36.39894079434077, 140.54240913945586"
水戸 CLUB VOICE,Voice,3100031,茨城県水戸市大工町１丁目６−１ ベルスポットビル４F,水戸市,茨城県,99,,,36.380814888302424,140.45874951204647,,"36.380814888302424, 140.45874951204647"
cr5bar,cr5bar,3010836,茨城県龍ケ崎市寺後４１５０,龍ケ崎市,茨城県,99,,,35.907619813797695,140.18460333067324,,"35.907619813797695, 140.18460333067324"
B side Sounds,B-side,3000037,茨城県土浦市桜町２丁目１２−１ B1F,土浦市,茨城県,99,,,36.07846273249477,140.1995597062183,,"36.07846273249477, 140.1995597062183"
Music Bar ルナ·クレシェンテ,ルナ·クレシェンテ,3120045,茨城県ひたちなか市勝田中央１０−２６ ２F,ひたちなか市,茨城県,,,,36.39444878674362,140.52850657458035,,"36.39444878674362, 140.52850657458035"
びーどりーむ,びーどりーむ,3120046,茨城県ひたちなか市勝田泉町８−１９,ひたちなか市,茨城県,,,,36.391408274536595,140.52506412095315,,"36.391408274536595, 140.52506412095315"
ブルームーズ,ブルームーズ,3100031,茨城県水戸市大工町２丁目１−２ アドナインス・ビル,水戸市,茨城県,,,,36.37994253731866,140.45764041911562,,"36.37994253731866, 140.45764041911562"
Music Bar burrows,burrows,9708026,福島県いわき市平田町１−１４ B1F,いわき市,福島県,30,,,37.05707646990795,140.89307904350372,,"37.05707646990795, 140.89307904350372"
club SONIC iwaki,Sonic Iwaki,9708026,福島県いわき市平大工町９−９−２,いわき市,福島県,200,,,37.05726017798612,140.89670126638478,,"37.05726017798612, 140.89670126638478"
ライブハウスＲ３,Ｒ３,9790141,福島県いわき市勿来町窪田片岸１０−１,いわき市,福島県,,,,36.894190953183156,140.7677454594884,,"36.894190953183156, 140.7677454594884"
下館 EVILGARAGE,EVILGARAGE,3091116,茨城県筑西市横塚１１９,筑西市,茨城県,,,,36.32232744428534,140.0095851702685,,"36.32232744428534, 140.0095851702685"
Acoustic Bar ぷかぷか,ぷかぷか,3100026,茨城県水戸市泉町３丁目５−３１ 大木ビル 2F,水戸市,茨城県,,,,36.38035081713975,140.46120117065215,,"36.38035081713975, 140.46120117065215"
ライブハウス カントリー,ライブハウス カントリー,3000034,茨城県土浦市港町１丁目６−１５,土浦市,茨城県,,,,36.07730746205341,140.20882433873103,,"36.07730746205341, 140.20882433873103"
アシベ,アシベ,3060400,茨城県猿島郡境町旭町７１６,旭町,茨城県,,,,36.10764413378214,139.7984633375009,,"36.10764413378214, 139.7984633375009"
サケクラすのっぶ,すのっぶ,3000033,茨城県土浦市川口１丁目１−２８ 土浦名店街 ２Ｆ,土浦市,茨城県,,,,36.08084621403592,140.2019046295345,,"36.08084621403592, 140.2019046295345"
DiningBar Kｰ15,K-15,3001260,茨城県つくば市西大井１７３４−８９,つくば市,茨城県,,,,36.01865475723045,140.1262926549204,,"36.01865475723045, 140.1262926549204"
ギターラ,ギターラ,2701516,千葉県印旛郡栄町安食２３５７−７８,栄町,千葉県,,,,35.83056117885986,140.25123863197277,,"35.83056117885986, 140.25123863197277"
CINNAMON(シナモン)RESTAURANT & BAR,シナモン,3000507,茨城県稲敷市犬塚１６１７−１７６,稲敷市,茨城県,,,,35.97271976234292,140.2960883988459,,"35.97271976234292, 140.2960883988459"
喫茶ほ〜ぼ〜,ほ〜ぼ〜,3160003,茨城県日立市多賀町２丁目１６−７ 1F,日立市,茨城県,,,,36.555707926637496,140.6285934541666,〒316-0003 茨城県日立市多賀町２丁目１６−７ 1F,"36.555707926637496, 140.6285934541666"
音楽酒場おんつぁげす,おんつぁげす,9660818,福島県喜多方市字二丁目４６５０,喜多方市,福島県,,,,37.65297297629019,139.87239553693962,〒966-0818 福島県喜多方市字二丁目４６５０,"37.65297297629019, 139.87239553693962"
